name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_33105.nii.gz,0.5581,0.5055,0.6622,13.038,13.442,13.033
BRATS_33106.nii.gz,0.5162,0.4878,0.6200,18.363,18.772,16.000
BRATS_33107.nii.gz,0.4793,0.4733,0.6265,17.493,17.972,16.279
BRATS_33108.nii.gz,0.5172,0.4478,0.5992,11.402,12.042,13.747
BRATS_33109.nii.gz,0.5738,0.5360,0.5763,8.485,8.944,11.180
BRATS_33110.nii.gz,0.4577,0.4632,0.5783,11.662,11.705,16.205
BRATS_33111.nii.gz,0.5289,0.5400,0.6386,11.000,10.637,12.207
BRATS_33112.nii.gz,0.7417,0.6345,0.7951,7.071,8.246,3.606
BRATS_33113.nii.gz,0.7136,0.5277,0.7444,10.198,12.166,4.499
BRATS_33114.nii.gz,0.8026,0.6299,0.8065,8.246,11.000,2.236
BRATS_33115.nii.gz,0.8296,0.6764,0.8479,5.385,8.000,1.414
BRATS_33264.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33265.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33266.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33267.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33268.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33269.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33270.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33271.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33272.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33273.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33274.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33275.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33276.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33277.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33278.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33279.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33280.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33281.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33282.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33283.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33432.nii.gz,0.8868,0.7966,0.8591,2.828,3.162,1.000
BRATS_33433.nii.gz,0.9169,0.8195,0.8394,1.000,2.000,1.000
BRATS_33434.nii.gz,0.9090,0.7796,0.7703,1.414,2.236,2.236
BRATS_33435.nii.gz,0.8741,0.7874,0.7804,3.162,4.123,3.000
BRATS_33436.nii.gz,0.8825,0.7987,0.7631,2.828,3.606,2.828
BRATS_33437.nii.gz,0.8872,0.7906,0.8161,2.236,4.000,2.000
BRATS_33438.nii.gz,0.8774,0.7790,0.7511,2.828,4.123,6.050
BRATS_33439.nii.gz,0.8769,0.7694,0.7937,2.236,4.123,7.582
BRATS_33440.nii.gz,0.8190,0.7807,0.7708,4.000,4.123,12.042
BRATS_33441.nii.gz,0.8006,0.7781,0.8110,5.000,5.000,9.220
BRATS_33442.nii.gz,0.7996,0.7815,0.7944,5.099,5.099,5.000
BRATS_33443.nii.gz,0.7886,0.7777,0.7993,5.385,5.657,3.000
BRATS_33444.nii.gz,0.7622,0.7506,0.8377,6.708,6.708,1.414
BRATS_33445.nii.gz,0.7620,0.7532,0.7807,7.280,7.280,2.000
BRATS_33446.nii.gz,0.7891,0.7778,0.1846,6.325,6.325,6.800
BRATS_33447.nii.gz,0.8329,0.8329,0.0000,4.123,4.123,373.129
BRATS_33448.nii.gz,0.8182,0.8182,1.0000,6.325,6.325,0.000
BRATS_33449.nii.gz,0.7801,0.7801,1.0000,8.000,8.000,0.000
BRATS_33450.nii.gz,0.8780,0.8780,1.0000,2.000,2.000,0.000
BRATS_33451.nii.gz,0.8869,0.8869,1.0000,1.414,1.414,0.000
BRATS_33600.nii.gz,0.8484,0.8232,0.3556,2.236,3.162,14.840
BRATS_33601.nii.gz,0.7829,0.7862,0.7812,3.162,3.162,12.374
BRATS_33602.nii.gz,0.7105,0.7295,0.7333,4.472,4.123,16.663
BRATS_33603.nii.gz,0.7809,0.7733,0.8513,3.162,3.162,1.000
BRATS_33604.nii.gz,0.8781,0.8551,0.8752,2.000,2.000,1.000
BRATS_33605.nii.gz,0.8924,0.8585,0.8605,2.000,2.000,1.000
BRATS_33606.nii.gz,0.8963,0.8551,0.8528,1.414,2.000,1.000
BRATS_33607.nii.gz,0.9179,0.8499,0.8512,1.000,2.000,1.000
BRATS_33608.nii.gz,0.9259,0.8626,0.8742,1.000,1.414,1.000
BRATS_33609.nii.gz,0.9182,0.8578,0.8881,1.000,2.000,1.000
BRATS_33610.nii.gz,0.9192,0.8660,0.8912,1.000,1.414,1.000
BRATS_33611.nii.gz,0.9212,0.8642,0.8591,1.000,1.414,1.000
BRATS_33612.nii.gz,0.9218,0.8681,0.8707,1.000,1.414,1.000
BRATS_33613.nii.gz,0.9296,0.8788,0.8810,1.000,1.000,1.000
BRATS_33614.nii.gz,0.9347,0.8917,0.8656,1.000,1.000,1.000
BRATS_33615.nii.gz,0.9397,0.9049,0.8701,1.000,1.000,1.000
BRATS_33616.nii.gz,0.9196,0.9003,0.8995,1.000,1.000,1.000
BRATS_33617.nii.gz,0.9026,0.8805,0.8896,1.000,1.414,1.000
BRATS_33618.nii.gz,0.9007,0.8635,0.8649,1.000,1.414,1.000
BRATS_33619.nii.gz,0.8880,0.8903,0.8642,1.414,1.000,1.000
BRATS_33768.nii.gz,0.8957,0.8332,0.8628,2.236,2.828,1.000
BRATS_33769.nii.gz,0.8809,0.8257,0.8833,3.162,4.000,1.000
BRATS_33770.nii.gz,0.8838,0.8365,0.8732,3.162,3.606,1.000
BRATS_33771.nii.gz,0.8863,0.8434,0.8848,3.000,3.162,1.000
BRATS_33772.nii.gz,0.8704,0.8208,0.8649,3.162,3.606,1.000
BRATS_33773.nii.gz,0.8775,0.8403,0.8861,2.828,3.000,1.000
BRATS_33774.nii.gz,0.8945,0.8678,0.9077,2.000,2.000,1.000
BRATS_33775.nii.gz,0.8845,0.8600,0.9188,2.236,2.828,1.000
BRATS_33776.nii.gz,0.9168,0.8924,0.9061,1.414,1.414,1.000
BRATS_33777.nii.gz,0.9097,0.8820,0.8976,1.414,2.000,1.000
BRATS_33778.nii.gz,0.8973,0.8706,0.9048,2.000,2.000,1.000
BRATS_33779.nii.gz,0.8669,0.8458,0.9230,2.799,2.828,1.000
BRATS_33780.nii.gz,0.9007,0.8825,0.9074,1.414,1.414,1.000
BRATS_33781.nii.gz,0.8765,0.8643,0.9410,2.236,2.236,1.000
BRATS_33782.nii.gz,0.8803,0.8780,0.9567,2.236,2.236,0.000
BRATS_33783.nii.gz,0.8561,0.8509,0.9432,3.000,3.000,1.000
BRATS_33784.nii.gz,0.7932,0.7830,0.8378,5.000,5.000,2.236
BRATS_33785.nii.gz,0.8295,0.8196,0.7276,3.162,3.162,5.000
BRATS_33786.nii.gz,0.8319,0.8273,0.8114,3.000,3.000,2.236
BRATS_33787.nii.gz,0.8461,0.8461,0.6700,2.828,2.828,3.162
BRATS_33936.nii.gz,0.7621,0.6889,0.6859,7.810,8.488,9.849
BRATS_33937.nii.gz,0.7361,0.6837,0.6585,9.055,9.220,9.970
BRATS_33938.nii.gz,0.7066,0.6882,0.6710,11.180,11.045,10.440
BRATS_33939.nii.gz,0.7411,0.6901,0.7007,9.884,9.000,9.220
BRATS_33940.nii.gz,0.6940,0.6459,0.7145,12.042,11.662,8.062
BRATS_33941.nii.gz,0.7306,0.6784,0.7623,9.487,8.000,6.708
BRATS_33942.nii.gz,0.7342,0.6816,0.7697,7.211,7.616,6.403
BRATS_33943.nii.gz,0.7294,0.6851,0.7648,11.180,8.756,6.000
BRATS_33944.nii.gz,0.6881,0.6516,0.7599,13.000,11.180,6.000
BRATS_33945.nii.gz,0.7107,0.6463,0.7478,11.180,11.034,6.083
BRATS_33946.nii.gz,0.7390,0.6053,0.7013,8.485,9.899,6.403
BRATS_33947.nii.gz,0.7960,0.5726,0.6739,6.083,8.062,5.000
BRATS_33948.nii.gz,0.8149,0.5887,0.7299,5.521,7.071,4.123
BRATS_33949.nii.gz,0.8275,0.6248,0.7180,4.472,6.434,4.243
BRATS_33950.nii.gz,0.8322,0.6541,0.7460,4.472,6.403,3.606
BRATS_33951.nii.gz,0.7793,0.5755,0.7003,6.000,7.232,5.657
BRATS_33952.nii.gz,0.7986,0.6176,0.7446,5.079,7.071,3.162
BRATS_33953.nii.gz,0.8334,0.6596,0.8038,4.000,6.708,2.236
BRATS_33954.nii.gz,0.8213,0.6158,0.8058,4.123,8.602,3.000
BRATS_33955.nii.gz,0.8224,0.5673,0.7827,4.243,10.000,5.000
BRATS_34104.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34105.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34106.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34107.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34108.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34109.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34110.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34111.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34112.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34113.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34114.nii.gz,0.0000,0.0000,1.0000,50.710,50.710,0.000
BRATS_34115.nii.gz,0.0000,0.0000,1.0000,62.172,62.172,0.000
BRATS_34116.nii.gz,0.0000,0.0000,1.0000,64.033,64.033,0.000
BRATS_34117.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34118.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34119.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34120.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34121.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34122.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34123.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34272.nii.gz,0.7775,0.6710,0.9094,19.000,20.881,1.000
BRATS_34273.nii.gz,0.8154,0.7005,0.9001,6.403,11.629,1.000
BRATS_34274.nii.gz,0.8350,0.7316,0.9204,5.000,6.708,1.000
BRATS_34275.nii.gz,0.8307,0.7185,0.9182,6.403,14.036,1.000
BRATS_34276.nii.gz,0.8230,0.6837,0.8840,8.000,14.703,1.000
BRATS_34277.nii.gz,0.8255,0.6799,0.8847,6.000,8.000,1.000
BRATS_34278.nii.gz,0.8193,0.6878,0.8960,5.099,7.000,1.000
BRATS_34279.nii.gz,0.8332,0.7014,0.8885,4.472,6.000,1.000
BRATS_34280.nii.gz,0.8257,0.6915,0.8840,5.000,6.325,1.000
BRATS_34281.nii.gz,0.8310,0.7057,0.8988,4.472,6.000,1.000
BRATS_34282.nii.gz,0.8383,0.7262,0.9056,4.357,5.831,1.000
BRATS_34283.nii.gz,0.8439,0.7344,0.9183,4.000,5.099,1.000
BRATS_34284.nii.gz,0.8491,0.7540,0.9165,4.000,5.000,1.000
BRATS_34285.nii.gz,0.8465,0.7633,0.8993,4.472,7.732,1.000
BRATS_34286.nii.gz,0.8494,0.7829,0.9058,5.000,5.831,1.000
BRATS_34287.nii.gz,0.8556,0.7862,0.9122,5.000,6.449,1.000
BRATS_34288.nii.gz,0.8606,0.7943,0.9141,4.123,6.708,1.000
BRATS_34289.nii.gz,0.8584,0.7962,0.9094,5.657,8.022,1.000
BRATS_34290.nii.gz,0.8597,0.8004,0.9041,4.472,4.472,1.000
BRATS_34291.nii.gz,0.8570,0.7962,0.8975,4.894,4.123,1.000
BRATS_34440.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34441.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34442.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34443.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34444.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34445.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34446.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34447.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34448.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34449.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_34450.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34451.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34452.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34453.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34454.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34455.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34456.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34457.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34458.nii.gz,0.1104,0.1104,1.0000,21.989,21.989,0.000
BRATS_34459.nii.gz,0.0996,0.0996,1.0000,23.405,23.405,0.000
BRATS_34608.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_34611.nii.gz,0.0217,0.0217,1.0000,26.039,26.039,0.000
BRATS_34612.nii.gz,0.1540,0.1540,1.0000,24.478,24.478,0.000
BRATS_34613.nii.gz,0.4090,0.4090,1.0000,19.411,19.411,0.000
BRATS_34614.nii.gz,0.6624,0.6624,1.0000,9.370,9.370,0.000
BRATS_34615.nii.gz,0.7880,0.7880,1.0000,9.724,9.724,0.000
BRATS_34616.nii.gz,0.8071,0.8071,1.0000,8.485,8.485,0.000
BRATS_34617.nii.gz,0.7643,0.7643,1.0000,4.243,4.243,0.000
BRATS_34618.nii.gz,0.7676,0.7676,1.0000,4.243,4.243,0.000
BRATS_34619.nii.gz,0.7960,0.7960,1.0000,4.000,4.000,0.000
BRATS_34620.nii.gz,0.7978,0.7978,0.0000,5.000,5.000,373.129
BRATS_34621.nii.gz,0.8106,0.8106,0.5263,5.000,5.000,25.302
BRATS_34622.nii.gz,0.8386,0.8391,0.7704,5.099,5.099,2.828
BRATS_34623.nii.gz,0.8708,0.8646,0.5842,4.000,4.000,7.036
BRATS_34624.nii.gz,0.8933,0.8673,0.7905,2.236,2.236,3.606
BRATS_34625.nii.gz,0.8979,0.8741,0.8871,2.000,2.236,1.000
BRATS_34626.nii.gz,0.8810,0.8667,0.9119,3.000,3.000,1.000
BRATS_34627.nii.gz,0.8418,0.8266,0.9055,4.123,4.123,1.000
BRATS_34776.nii.gz,0.8541,0.8233,0.8819,2.828,3.000,1.000
BRATS_34777.nii.gz,0.8626,0.8350,0.8823,2.236,2.828,1.000
BRATS_34778.nii.gz,0.8570,0.8239,0.8587,2.828,2.828,1.000
BRATS_34779.nii.gz,0.8723,0.8471,0.8889,2.236,2.236,1.000
BRATS_34780.nii.gz,0.8913,0.8691,0.9060,2.000,2.000,1.000
BRATS_34781.nii.gz,0.8861,0.8655,0.9039,2.000,2.236,1.000
BRATS_34782.nii.gz,0.8413,0.8152,0.8944,3.606,4.000,1.000
BRATS_34783.nii.gz,0.8255,0.8004,0.8792,11.011,12.877,1.000
BRATS_34784.nii.gz,0.8100,0.7871,0.8957,13.674,32.068,1.000
BRATS_34785.nii.gz,0.8105,0.7946,0.9179,15.457,33.615,1.000
