name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_33105.nii.gz,0.5460,0.4851,0.5270,8.994,9.179,11.324
BRATS_33106.nii.gz,0.5021,0.4403,0.5109,11.072,11.314,12.147
BRATS_33107.nii.gz,0.5079,0.4708,0.4976,10.251,10.630,13.130
BRATS_33108.nii.gz,0.4735,0.4306,0.4706,6.403,6.708,14.391
BRATS_33109.nii.gz,0.5757,0.4972,0.4823,5.328,5.657,12.267
BRATS_33110.nii.gz,0.6298,0.6111,0.5738,6.083,6.344,10.037
BRATS_33111.nii.gz,0.6429,0.6324,0.5445,5.299,5.430,8.062
BRATS_33112.nii.gz,0.7547,0.6152,0.6293,4.472,5.099,5.000
BRATS_33113.nii.gz,0.7678,0.5778,0.6627,5.385,6.403,4.055
BRATS_33114.nii.gz,0.8155,0.6307,0.7829,5.000,6.083,2.236
BRATS_33115.nii.gz,0.8351,0.6916,0.8142,3.000,4.243,1.414
BRATS_33264.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33265.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33266.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33267.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33268.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33269.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33270.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33271.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33272.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33273.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33274.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33275.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33276.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33277.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33278.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33279.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_33280.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33281.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33282.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33283.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33432.nii.gz,0.8763,0.7878,0.8454,2.236,2.888,1.000
